Text,Attacker,CVE,ExploitTarget,Hardware,Means/Consequence,Product,Software,Vulnerability,Weakness,VersionNumber,hasAffectedSoftware,hasAttacker,#hasMeans,hasWeakness,#isUnderAttack,hasSoftware,has CVE_ID,hasVulnerability
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service (crash) and possibly execute arbitrary code via a long server version string.,remote database servers,CVE-2014-0001,client/mysql.cc; MariaDB,,long server version string,,Oracle MySQL,Buffer overflow,to cause a denial of service (crash) and possibly execute arbitrary code,before 5.5.35,1449,,,,,,2013,
"CVE-2014-0003 The XSLT component in Apache Camel 2.11.x before 2.11.4, 2.12.x before 2.12.3, and possibly earlier versions allows remote attackers to execute arbitrary Java methods via a crafted message.",remote attackers,CVE-2014-0003,XSLT component,,crafted message,,Apache Camel,,to execute arbitrary Java methods,"2.11.x before 2.11.4, 2.12.x before 2.12.3",,,,,,,,
"CVE-2014-0005 PicketBox and JBossSX, as used in Red Hat JBoss Enterprise Application Platform (JBEAP) 6.2.2 and JBoss BRMS before 6.0.3 roll up patch 2, allows remote authenticated users to read and modify the application sever configuration and state by deploying a crafted application.",remote authenticated users,CVE-2014-0005,PicketBox; JBossSX,,deploying a crafted application,Red Hat JBoss Enterprise Application Platform (JBEAP); JBoss BRMS,,,to read and modify the application sever configuration and state,6.2.2; before 6.0.3,,,,,,,,
CVE-2014-0007 The Smart-Proxy in Foreman before 1.4.5 and 1.5.x before 1.5.1 allows remote attackers to execute arbitrary commands via shell metacharacters in the path parameter to tftp/fetch_boot_file.,remote attackers,CVE-2014-0007,Smart-Proxy,,shell metacharacters in the path parameter to tftp/fetch_boot_file,Foreman,,,to execute arbitrary commands,before 1.4.5 and 1.5.x before 1.5.1,,,,,,,,
"CVE-2014-0009 course/loginas.php in Moodle through 2.2.11, 2.3.x before 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 does not enforce the moodle/site:accessallgroups capability requirement for outside-group users in a SEPARATEGROUPS configuration, which allows remote authenticated users to perform ""login as"" actions via a direct request.",remote authenticated users,CVE-2014-0009,course/loginas.php,,a direct request,Moodle,,,"to perform ""login as"" actions","2.2.11, 2.3.x before 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1",,,,,,,,
"CVE-2014-0011 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0013 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0015 cURL and libcurl 7.10.6 through 7.34.0, when more than one authentication method is enabled, re-uses NTLM connections, which might allow context-dependent attackers to authenticate as other users via a request.",context-dependent attackers,CVE-2014-0015,,,a request,cURL and libcurl,,,to authenticate as other users,7.10.6 through 7.34.0,,,,,,,,
"CVE-2014-0017 The RAND_bytes function in libssh before 0.6.3, when forking is enabled, does not properly reset the state of the OpenSSL pseudo-random number generator (PRNG), which causes the state to be shared between children processes and allows local users to obtain sensitive information by leveraging a pid collision.",local users,CVE-2014-0017,RAND_bytes function,,leveraging a pid collision,libssh,,,to obtain sensitive information,before 0.6.3,,,,,,,,
CVE-2014-0019 Stack-based buffer overflow in socat 1.3.0.0 through 1.7.2.2 and 2.0.0-b1 through 2.0.0-b6 allows local users to cause a denial of service (segmentation fault) via a long server name in the PROXY-CONNECT address in the command line.,local users,CVE-2014-0019,,,a long server name,socat,,Stack-based buffer overflow,to cause a denial of service,1.3.0.0 through 1.7.2.2 and 2.0.0-b1 through 2.0.0-b6,,,,,,,,
