Text,Subject,Object,Domain,Range
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service ( crash ) and possibly execute arbitrary code via a long server version string . ,Buffer overflow ,remote database servers ,Vulnerability,Attacker
"CVE-2014-0199 The setup script in ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports ( rhevm-reports ) package before 3.3.3 , stores the reports database password in cleartext , which allows local users to obtain sensitive information by reading an unspecified file. ",obtain sensitive information ,local users ,Vulnerability,Attacker
"CVE-2014-0201 ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports package ( rhevm-reports ) before 3.3.3 , uses world-readable permissions on configuration files , which allows local users to obtain sensitive information by reading the files. ",obtain sensitive information ,local users ,Vulnerability,Attacker
"CVE-2014-0203 The do follow link function in fs/namei.c in the Linux kernel before 2.6.33 does not properly handle the last pathname component during use of certain filesystems , which allows local users to cause a denial of service (incorrect free operations and system crash) via an open system call. ",denial of service ,local users ,Vulnerability,Attacker
"CVE-2014-0205 The futex wait function in kernel/futex.c in the Linux kernel before 2.6.37 does not properly maintain a certain reference count during requeue operations , which allows local users to cause a denial of service (use-after-free and system crash) or possibly gain privileges via a crafted application that triggers a zero count. ",denial of service ,local users ,Vulnerability,Attacker
"CVE-2014-0207 The cdf read short sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14 , allows remote attackers to cause a denial of service (assertion failure and application exit) via a crafted CDF file . ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0209 Multiple integer overflows in the (1) FontFileAddEntry and (2) lexAlias functions in X.Org libXfont before 1.4.8 and 1.4.9x before 1.4.99.901 might allow local users to gain privileges by adding a directory with a large fonts.dir or fonts.alias file to the font path, which triggers a heap-based buffer overflow , related to metadata. ",heap-based buffer overflow ,local users ,Vulnerability,Attacker
"CVE-2014-0211 Multiple integer overflows in the (1) fs get reply , (2) fs alloc glyphs , and (3) fs read extent info functions in X.Org libXfont before 1.4.8 and 1.4.9x before 1.4.99.901 allow remote font servers to execute arbitrary code via a crafted xfs reply , which triggers a buffer overflow . ",buffer overflow ,remote font servers ,Vulnerability,Attacker
"CVE-2014-0213 Multiple cross-site request forgery ( CSRF ) vulnerabilities in mod/assign/locallib.php  in the Assignment subsystem in Moodle through 2.3.11 , 2.4.x before 2.4.10 , 2.5.x before 2.5.6 , and 2.6.x before 2.6.3 allow remote attackers to hijack the authentication of teachers for quick-grading requests. ",cross-site request forgery ( CSRF ) ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0215 The blind-marking implementation in Moodle through 2.3.11 , 2.4.x before 2.4.10 , 2.5.x before 2.5.6 , and 2.6.x before 2.6.3 allows remote authenticated users to de-anonymize student identities by (1) using a screen reader or (2) reading the HTML source. ",de-anonymize ,remote authenticated users ,Vulnerability,Attacker
