Text,Subject,Object,Domain,Range
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service ( crash ) and possibly execute arbitrary code via a long server version string . ,Buffer overflow ,to cause a denial of service ( crash ) and possibly execute arbitrary code ,Vulnerability,Weakness
"CVE-2014-0203 The do follow link function in fs/namei.c in the Linux kernel before 2.6.33 does not properly handle the last pathname component during use of certain filesystems , which allows local users to cause a denial of service (incorrect free operations and system crash) via an open system call. ",denial of service ,fs/namei.c ,Vulnerability,Weakness
"CVE-2014-0205 The futex wait function in kernel/futex.c in the Linux kernel before 2.6.37 does not properly maintain a certain reference count during requeue operations , which allows local users to cause a denial of service (use-after-free and system crash) or possibly gain privileges via a crafted application that triggers a zero count. ",denial of service ,kernel/futex.c ,Vulnerability,Weakness
"CVE-2014-0207 The cdf read short sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14 , allows remote attackers to cause a denial of service (assertion failure and application exit) via a crafted CDF file . ",denial of service ,cdf.c ,Vulnerability,Weakness
CVE-2014-0237 The cdf unpack summary info function in cdf.c in the Fileinfo component in PHP before 5.4.29 and 5.5.x before 5.5.13 allows remote attackers to cause a denial of service (performance degradation) by triggering many file printf calls . ,denial of service ,cdf.c ,Vulnerability,Weakness
"CVE-2014-0683 The web management interface on the Cisco RV110W firewall with firmware 1.2.0.9 and earlier , RV215W router with firmware 1.1.0.5 and earlier , and CVR100W router with firmware 1.0.1.19 and earlier does not prevent replaying of modified authentication requests , which allows remote attackers to obtain administrative access by leveraging the ability to intercept requests , aka Bug IDs CSCul94527 , CSCum86264 , and CSCum86275 . ",does not prevent replaying of modified authentication requests ,obtain administrative access ,Vulnerability,Weakness
"CVE-2014-0705 The multicast listener discovery ( MLD ) service on Cisco Wireless LAN Controller ( WLC ) devices 7.2 , 7.3 , 7.4 before 7.4.121.0 , and 7.5 , when MLDv2 Snooping is enabled , allows remote attackers to cause a denial of service ( device restart ) via a malformed IPv6 MLDv2 packet , aka Bug ID CSCuh74233 . ",MLDv2 Snooping is enabled ,denial of service ( device restart ) ,Vulnerability,Weakness
"CVE-2014-0709 Cisco UCS Director (formerly Cloupia) before 4.0.0.3 has a hardcoded password for the root account , which makes it easier for remote attackers to obtain administrative access via an SSH session to the CLI interface , aka Bug ID CSCui73930. ",hardcoded password for the root account ,obtain administrative access ,Vulnerability,Weakness
"CVE-2014-0719 The control-plane access-list implementation in Cisco IPS Software before 7.1 ( 8p2 ) E4 and 7.2 before 7.2 ( 2 ) E4 allows remote attackers to cause a denial of service ( MainApp process outage ) via crafted packets to TCP port 7000 , aka Bug ID CSCui67394. ",control-plane access-list implementation ,denial of service ( MainApp process outage ) ,Vulnerability,Weakness
"CVE-2014-0723 Cross-site scripting ( XSS ) vulnerability in the IP Manager Assistant ( IPMA ) interface in Cisco Unified Communications Manager ( UCM ) allows remote attackers to inject arbitrary web script or HTML via a crafted URL , aka Bug ID CSCum05343 . ",Cross-site scripting ( XSS ) vulnerability ,to inject arbitrary web script or HTML ,Vulnerability,Weakness
"CVE-2014-0725 Cisco Unified Communications Manager ( UCM ) does not require authentication for reading WAR files , which allows remote attackers to obtain sensitive information via unspecified access to a `` file storage location , '' aka Bug ID CSCum05337 . ",does not require authentication for reading WAR files ,to obtain sensitive information ,Vulnerability,Weakness
"CVE-2014-0727 SQL injection vulnerability in the CallManager Interactive Voice Response ( CMIVR ) interface in Cisco Unified Communications Manager ( UCM ) allows remote attackers to execute arbitrary SQL commands via a crafted URL , aka Bug ID CSCum05318 . ",SQL injection vulnerability ,to execute arbitrary SQL commands ,Vulnerability,Weakness
"CVE-2014-0729 SQL injection vulnerability in the Enterprise Mobility Application ( EMApp ) interface in Cisco Unified Communications Manager ( UCM ) allows remote attackers to execute arbitrary SQL commands via a crafted URL , aka Bug ID CSCum05302 . ",SQL injection vulnerability ,to execute arbitrary SQL commands ,Vulnerability,Weakness
"CVE-2014-0733 The Enterprise License Manager ( ELM ) component in Cisco Unified Communications Manager ( Unified CM ) 10.0 ( 1 ) and earlier does not properly enforce authentication requirements , which allows remote attackers to read ELM files via a direct request to a URL , aka Bug ID CSCum46494 . ",does not properly enforce authentication requirements ,to read ELM files ,Vulnerability,Weakness
"CVE-2014-0735 Cross-site scripting ( XSS ) vulnerability in the IP Manager Assistant ( IPMA ) interface in Cisco Unified Communications Manager ( Unified CM ) 10.0 ( 1 ) and earlier allows remote attackers to inject arbitrary web script or HTML via a crafted URL , aka Bug ID CSCum46470 . ",Cross-site scripting ( XSS ) vulnerability ,to inject arbitrary web script or HTML ,Vulnerability,Weakness
"CVE-2014-0739 Race condition in the Phone Proxy component in Cisco Adaptive Security Appliance ( ASA ) Software 9.1 ( .3 ) and earlier allows remote attackers to bypass sec db authentication and provide certain pass-through services to untrusted devices via a crafted configuration-file TFTP request , aka Bug ID CSCuj66766 . ",Race condition ,to bypass sec db authentication and provide certain pass-through services to untrusted devices ,Vulnerability,Weakness
"CVE-2014-0745 Cross-site request forgery ( CSRF ) vulnerability in the Unified Serviceability subsystem in Cisco Unified Contact Center Express ( Unified CCX ) allows remote attackers to hijack the authentication of arbitrary users , aka Bug ID CSCum95502. ",Cross-site request forgery ( CSRF ) vulnerability ,to hijack the authentication of arbitrary users ,Vulnerability,Weakness
CVE-2014-0749 Stack-based buffer overflow in lib/Libdis/disrsi .c in Terascale Open-Source Resource and Queue Manager (aka TORQUE Resource Manager) 2.5.x through 2.5.13 allows remote attackers to execute arbitrary code via a large count value . ,Stack-based buffer overflow ,to execute arbitrary code ,Vulnerability,Weakness
"CVE-2014-0751 Directory traversal vulnerability in CimWebServer.exe ( aka the WebView component ) in GE Intelligent Platforms Proficy HMI/SCADA - CIMPLICITY before 8.2 SIM 24, and Proficy Process Systems with CIMPLICITY, allows remote attackers to execute arbitrary code via a crafted message to TCP port 10212 , aka ZDI-CAN-1623 . ",Directory traversal vulnerability ,to execute arbitrary code ,Vulnerability,Weakness
CVE-2014-0753 Stack-based buffer overflow in the SCADA server in Ecava IntegraXor before 4.1.4390 allows remote attackers to cause a denial of service ( system crash ) by triggering access to DLL code located in the IntegraXor directory. ,Stack-based buffer overflow ,to cause a denial of service ( system crash ) ,Vulnerability,Weakness
"CVE-2014-0755 Rockwell Automation RSLogix 5000 7 through 20.01 , and 21.0 , does not properly implement password protection for .ACD files ( aka project files ) , which allows local users to obtain sensitive information or modify data via unspecified vectors . ",does not properly implement password protection for .ACD files ( aka project files ) ,to obtain sensitive information or modify data ,Vulnerability,Weakness
CVE-2014-0759 Unquoted Windows search path vulnerability in Schneider Electric Floating License Manager 1.0.0 through 1.4.0 allows local users to gain privileges via a Trojan horse application with a name composed of an initial substring of a path that contains a space character . ,Unquoted Windows search path vulnerability ,to gain privileges ,Vulnerability,Weakness
CVE-2014-0763 Multiple SQL injection vulnerabilities in DBVisitor.dll in Advantech WebAccess before 7.2 allow remote attackers to execute arbitrary SQL commands via SOAP requests to unspecified functions . ,Multiple SQL injection vulnerabilities ,to execute arbitrary SQL commands ,Vulnerability,Weakness
CVE-2014-0765 Stack-based buffer overflow in Advantech WebAccess before 7.2 allows remote attackers to execute arbitrary code via a long GotoCmd argument . ,Stack-based buffer overflow ,to execute arbitrary code ,Vulnerability,Weakness
CVE-2014-0767 Stack-based buffer overflow in Advantech WebAccess before 7.2 allows remote attackers to execute arbitrary code via a long AccessCode argument . ,Stack-based buffer overflow ,to execute arbitrary code ,Vulnerability,Weakness
CVE-2014-0771 The OpenUrlToBuffer method in the BWOCXRUN.BwocxrunCtrl.1 ActiveX control in bwocxrun.ocx in Advantech WebAccess before 7.2 allows remote attackers to read arbitrary files via a file : URL . ,OpenUrlToBuffer method ,to read arbitrary files ,Vulnerability,Weakness
"CVE-2014-0773 The CreateProcess method in the BWOCXRUN.BwocxrunCtrl.1 ActiveX control in bwocxrun.ocx in Advantech WebAccess before 7.2 allows remote attackers to execute ( 1 ) setup.exe , ( 2 ) bwvbprt.exe , and ( 3 ) bwvbprtl.exe programs from arbitrary pathnames via a crafted argument , as demonstrated by a UNC share pathname . ",CreateProcess method ,"to execute ( 1 ) setup.exe , ( 2 ) bwvbprt.exe , and ( 3 ) bwvbprtl.exe programs from arbitrary pathnames ",Vulnerability,Weakness
CVE-2014-0777 The Modbus slave/outstation driver in the OPC Drivers 1.0.20 and earlier in IOServer OPC Server allows remote attackers to cause a denial of service (out-of-bounds read and daemon crash) via a crafted packet . ,The Modbus slave/outstation driver ,to cause a denial of service ,Vulnerability,Weakness
