Text,Subject,Object,Domain,Range
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service ( crash ) and possibly execute arbitrary code via a long server version string . ,Buffer overflow ,long server version string ,Vulnerability,Means
"CVE-2014-0199 The setup script in ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports ( rhevm-reports ) package before 3.3.3 , stores the reports database password in cleartext , which allows local users to obtain sensitive information by reading an unspecified file. ",obtain sensitive information ,database password in cleartext ,Vulnerability,Means
"CVE-2014-0201 ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports package ( rhevm-reports ) before 3.3.3 , uses world-readable permissions on configuration files , which allows local users to obtain sensitive information by reading the files. ",obtain sensitive information ,world-readable permissions on configuration files ,Vulnerability,Means
"CVE-2014-0203 The do follow link function in fs/namei.c in the Linux kernel before 2.6.33 does not properly handle the last pathname component during use of certain filesystems , which allows local users to cause a denial of service (incorrect free operations and system crash) via an open system call. ",denial of service ,the last pathname component during use of certain filesystems ,Vulnerability,Means
"CVE-2014-0205 The futex wait function in kernel/futex.c in the Linux kernel before 2.6.37 does not properly maintain a certain reference count during requeue operations , which allows local users to cause a denial of service (use-after-free and system crash) or possibly gain privileges via a crafted application that triggers a zero count. ",denial of service ,maintain a certain reference count during requeue operations ,Vulnerability,Means
"CVE-2014-0207 The cdf read short sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14 , allows remote attackers to cause a denial of service (assertion failure and application exit) via a crafted CDF file . ",denial of service ,crafted CDF file ,Vulnerability,Means
"CVE-2014-0209 Multiple integer overflows in the (1) FontFileAddEntry and (2) lexAlias functions in X.Org libXfont before 1.4.8 and 1.4.9x before 1.4.99.901 might allow local users to gain privileges by adding a directory with a large fonts.dir or fonts.alias file to the font path, which triggers a heap-based buffer overflow , related to metadata. ",heap-based buffer overflow ,integer overflows ,Vulnerability,Means
"CVE-2014-0211 Multiple integer overflows in the (1) fs get reply , (2) fs alloc glyphs , and (3) fs read extent info functions in X.Org libXfont before 1.4.8 and 1.4.9x before 1.4.99.901 allow remote font servers to execute arbitrary code via a crafted xfs reply , which triggers a buffer overflow . ",buffer overflow ,execute arbitrary code via a crafted xfs reply ,Vulnerability,Means
"CVE-2014-0213 Multiple cross-site request forgery ( CSRF ) vulnerabilities in mod/assign/locallib.php  in the Assignment subsystem in Moodle through 2.3.11 , 2.4.x before 2.4.10 , 2.5.x before 2.5.6 , and 2.6.x before 2.6.3 allow remote attackers to hijack the authentication of teachers for quick-grading requests. ",cross-site request forgery ( CSRF ) ,mod/assign/locallib.php ,Vulnerability,Means
"CVE-2014-0215 The blind-marking implementation in Moodle through 2.3.11 , 2.4.x before 2.4.10 , 2.5.x before 2.5.6 , and 2.6.x before 2.6.3 allows remote authenticated users to de-anonymize student identities by (1) using a screen reader or (2) reading the HTML source. ",de-anonymize ,The blind-marking implementation ,Vulnerability,Means
"CVE-2014-0217 enrol/index.php in Moodle 2.6.x before 2.6.3 does not check for the moodle/course : viewhiddencourses capability before listing hidden courses, which allows remote attackers to obtain sensitive name and summary information about these courses by leveraging the guest role and visiting a crafted UR L. ",crafted UR ,moodle/course : viewhiddencourses capability ,Vulnerability,Means
"CVE-2014-0221 The dtls1 get message fragment function in d1 both.c in OpenSSL before 0.9.8za , 1.0.0 before 1.0.0m , and 1.0.1 before 1.0.1h allows remote attackers to cause a denial of service (recursion and client crash) via a DTLS hello message in an invalid DTLS handshake. ",denial of service ,dtls1 get message fragment ,Vulnerability,Means
"CVE-2014-0223 Integer overflow in the qcow function in block/qcow.c in QEMU before 1.7.2 allows local users to cause a denial of service (crash) and possibly execute arbitrary code via a large image size, which triggers a buffer overflow or out-of-bounds read. ",buffer overflow ,execute arbitrary code ,Vulnerability,Means
"CVE-2014-0231 The mod cgid module in the Apache HTTP Server before 2.4.10 does not have a timeout mechanism, which allows remote attackers to cause a denial of service (process hang) via a request to a CGI script that does not read from its stdin file descriptor . ",denial of service ,request to a CGI script that does not read from its stdin file descriptor ,Vulnerability,Means
CVE-2014-0233 Red Hat OpenShift Enterprise 2.0 and 2.1 and OpenShift Origin allow remote authenticated users to execute arbitrary commands via shell metacharacters in a directory name that is referenced by a cartridge using the file : URI scheme . ,execute arbitrary commands ,shell metacharacters in a directory name that is referenced by a cartridge using the file : URI scheme ,Vulnerability,Means
CVE-2014-0237 The cdf unpack summary info function in cdf.c in the Fileinfo component in PHP before 5.4.29 and 5.5.x before 5.5.13 allows remote attackers to cause a denial of service (performance degradation) by triggering many file printf calls . ,denial of service ,triggering many file printf calls ,Vulnerability,Means
"CVE-2014-0239 The internal DNS server in Samba 4.x before 4.0.18 does not check the QR field in the header section of an incoming DNS message before sending a response, which allows remote attackers to cause a denial of service (CPU and bandwidth consumption) via a forged response packet that triggers a communication loop , a related issue to CVE-1999-0103. ",denial of service ,a forged response packet that triggers a communication loop ,Vulnerability,Means
"CVE-2014-0247 LibreOffice 4.2.4 executes unspecified VBA macros automatically , which has unspecified impact and attack vectors , possibly related to doc/docmacromode.cxx . ",unspecified impact and attack vectors ,executes unspecified VBA macros automatically ,Vulnerability,Means
"CVE-2014-0249 The System Security Services Daemon ( SSSD ) 1.11.6 does not properly identify group membership when a non-POSIX group is in a group membership chain, which allows local users to bypass access restrictions via unspecified vectors . ",bypass access restrictions ,unspecified vectors ,Vulnerability,Means
"CVE-2014-0251 Microsoft Windows SharePoint Services 3.0 SP3 ; SharePoint Server 2007 SP3 , 2010 SP1 and SP2 , and 2013 Gold and SP1 ; SharePoint Foundation 2010 SP1 and SP2 and 2013 Gold and SP1 ; Project Server 2010 SP1 and SP2 and 2013 Gold and SP1 ; Web Applications 2010 SP1 and SP2 ; Office Web Apps Server 2013 Gold and SP1 ; SharePoint Server 2013 Client Components SDK ; and SharePoint Designer 2007 SP3, 2010 SP1 and SP2, and 2013 Gold and SP1 allow remote authenticated users to execute arbitrary code via crafted page content , aka ""SharePoint Page Content Vulnerability."" ",execute arbitrary code ,crafted page content ,Vulnerability,Means
"CVE-2014-0253 Microsoft .NET Framework 1.1 SP1 , 2.0 SP2 , 3.5 , 3.5.1 , 4 , 4.5 , and 4.5.1 does not properly determine TCP connection states, which allows remote attackers to cause a denial of service (ASP.NET daemon hang) via crafted HTTP requests that trigger persistent resource consumption for a (1) stale or (2) closed connection, as exploited in the wild in February 2014, aka ""POST Request DoS Vulnerability."" ",denial of service ,crafted HTTP requests ,Vulnerability,Means
"CVE-2014-0255 Microsoft Windows Server 2008 SP2 and R2 SP1 and Server 2012 Gold and R2 allow remote attackers to cause a denial of service (iSCSI service outage) by sending many crafted packets , aka ""iSCSI Target Remote Denial of Service Vulnerability."" ",denial of service ,sending many crafted packets ,Vulnerability,Means
