Text,Subject,Object,Relation,Confidence Score
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service ( crash ) and possibly execute arbitrary code via a long server version string ,Buffer overflow ,remote database servers ,hasAttacker,1.0
CVE-2014-0019 Stack-based buffer overflow in socat 1.3.0.0 through 1.7.2.2 and 2.0.0-b1 through 2.0.0-b6 allows local users to cause a denial of service (segmentation fault) via a long server name in the PROXY-CONNECT address in the command line. ,Stack-based buffer overflow ,local users ,hasAttacker,0.9899667350080493
"CVE-2014-0039 Untrusted search path vulnerability in fwsnort before 1.6.4 when not running as root, allows local users to execute arbitrary code via a Trojan horse fwsnort Product.conf in the current working directory. ",Untrusted search path vulnerability ,local users ,hasAttacker,0.9913574831325784
CVE-2014-0049 Buffer overflow in the complete emulated mmio function in arch/x86/kvm/x86.c in the Linux kernel Productbefore 3.13.6 allows guest OS users to execute arbitrary code on the host OS by leveraging a loop that triggers an invalid memory copy affecting certain cancel work item data ,Buffer overflow ,guest OS users ,hasAttacker,0.9953513617477616
"CVE-2014-0075 Integer overflow in the parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat before 6.0.40 Versionnumber,7.x before 7.0.53 Versionnumber,and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data ",Integer overflow ,remote attackers ,hasAttacker,0.9993261958528189
"CVE-2014-0081 Multiple cross-site scripting ( XSS ) vulnerabilities in actionview/lib/action view/helpers/number helper.rb in Ruby on Rails before 3.2.17 Versionnumber,4.0.x before 4.0.3 Versionnumber,and 4.1.x before 4.1.0.beta2 allow remote attackers to inject arbitrary web script or HTML via the (1) format, (2) negative or (3) units parameter to the (a) number to (b) number to or (c) number to helper. ",Multiple cross-site scripting ( XSS ) vulnerabilities ,remote attackers ,hasAttacker,0.993596433822004
CVE-2014-0089 Cross-site scripting ( XSS ) vulnerability in app/views/common/500.html.erb in Foreman 1.4.x before 1.4.2 allows remote authenticated users to inject arbitrary web script or HTML via the bookmark name when adding a bookmark. ,Cross-site scripting ( XSS ) vulnerability ,remote authenticated users ,hasAttacker,0.9793227778392235
"CVE-2014-0099 Integer overflow in java/org/apache/tomcat/util/buf/Ascii.java in Apache Tomcat before 6.0.40 Versionnumber,7.x before 7.0.53 Versionnumber,and 8.x before 8.0.4 when operated behind a reverse proxy, allows remote attackers to conduct HTTP request smuggling attacks via a crafted Content-Length HTTP header ",Integer overflow ,remote attackers ,hasAttacker,0.9926368476458814
CVE-2014-0131 Use-after-free vulnerability in the skb segment function in net/core/skbuff.c in the Linux kernel through 3.13.6 allows attackers to obtain sensitive information from kernel memory by leveraging the absence of a certain orphaning operation ,Use-after-free vulnerability ,attackers ,hasAttacker,0.9931783151610797
CVE-2014-0133 Heap-based buffer overflow in the SPDY implementation in nginx 1.3.15 before 1.4.7 and 1.5.x before 1.5.12 allows remote attackers to execute arbitrary code via a crafted request ,Heap-based buffer overflow ,remote attackers ,hasAttacker,0.9966895556474031
CVE-2014-0149 Multiple cross-site scripting ( XSS ) vulnerabilities in Red Hat JBoss Web Framework Kit 2.5.0 allow remote attackers to inject arbitrary web script or HTML via a (1) parameter or (2) id name. ,Multiple cross-site scripting ( XSS ) vulnerabilities ,remote attackers ,hasAttacker,0.9593706131760025
CVE-2014-0151 Cross-site request forgery ( CSRF ) vulnerability in oVirt Engine before 3.5.0 beta2 allows remote attackers to hijack the authentication of users for requests that perform unspecified actions via a REST API request ,Cross-site request forgery ( CSRF ) vulnerability ,remote attackers ,hasAttacker,0.9725933296168358
CVE-2014-0157 Cross-site scripting ( XSS ) vulnerability in the Horizon Orchestration dashboard in OpenStack Dashboard (aka Horizon) 2013.2 before 2013.2.4 and icehouse before icehouse-rc2 allows remote attackers to inject arbitrary web script or HTML via the description field of a Heat template ,Cross-site scripting ( XSS ) vulnerability ,remote attackers ,hasAttacker,0.9899258689022876
CVE-2014-0159 Buffer overflow in the GetStatistics64 remote procedure call ( RPC ) in OpenAFS 1.4.8 before 1.6.7 allows remote attackers to cause a denial of service (crash) via a crafted statsVersion argument ,Buffer overflow ,remote attackers ,hasAttacker,0.970895342349638
"CVE-2014-0171 XML external entity ( XXE ) vulnerability in StaxXMLFactoryProvider2 in Odata4j as used in Red Hat JBoss Data Virtualization before 6.0.0 patch 4, allows remote attackers to read arbitrary files via a crafted request to a REST endpoint ",XML external entity ( XXE ) vulnerability ,remote attackers ,hasAttacker,0.9870224369404395
"CVE-2014-0199 The setup script in ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports ( rhevm-reports ) package before 3.3.3 stores the reports database password in cleartext which allows local users to obtain sensitive information by reading an unspecified file. ",obtain sensitive information ,local users ,hasAttacker,0.9990648145066056
"CVE-2014-0201 ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports package ( rhevm-reports ) before 3.3.3 uses world-readable permissions on configuration files which allows local users to obtain sensitive information by reading the files. ",obtain sensitive information ,local users ,hasAttacker,0.9990648145066056
CVE-2014-0203 The do follow link function in fs/namei.c in the Linux kernel before 2.6.33 does not properly handle the last pathname component during use of certain filesystems which allows local users to cause adenial of service (incorrect free operations and system crash) via an open system call. ,adenial of service ,local users ,hasAttacker,0.992321724506695
CVE-2014-0205 The futex wait function in kernel/futex.c in the Linux kernel before 2.6.37 does not properly maintain a certain reference count during requeue operations which allows local users to cause adenial of service (use-after-free and system crash) or possibly gain privileges via a crafted application that triggers a zero count. ,adenial of service ,local users ,hasAttacker,0.992321724506695
"CVE-2014-0207 The cdf read short sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14, allows remote attackers to cause adenial of service (assertion failure and application exit) via a crafted CDF file ",adenial of service ,remote attackers ,hasAttacker,0.9948853761025805
"CVE-2014-0213 Multiple cross-site request forgery ( CSRF ) vulnerabilities in mod/assign/locallib.php Means in the Assignment subsystem in Moodle through 2.3.11, 2.4.x before 2.4.10, 2.5.x before 2.5.6, and 2.6.x before 2.6.3 allow remote attackers to hijack the authentication of teachers for quick-grading requests. ",cross-site request forgery ( CSRF ) ,remote attackers ,hasAttacker,0.9961181065350717
"CVE-2014-0215 The blind-marking implementation in Moodle through 2.3.11, 2.4.x before 2.4.10, 2.5.x before 2.5.6, and 2.6.x before 2.6.3 allows remote authenticated users to de-anonymize student identities by (1) using a screen reader or (2) reading the HTML source. ",de-anonymize ,remote authenticated users ,hasAttacker,0.9987083510676478
"CVE-2014-0221 The dtls1 get message fragment function in d1 both.c in OpenSSL before 0.9.8za, 1.0.0 before 1.0.0m, and 1.0.1 before 1.0.1h allows remote attackers to cause a denial of service (recursion and client crash) via a DTLS hello message in an invalid DTLS handshake. ",denial of service ,remote attackers ,hasAttacker,0.999072805392847
"CVE-2014-0223 Integer overflow in the qcow function in block/qcow.c in QEMU before 1.7.2 allows local users to cause a denial of service (crash) and possibly execute arbitrary code via a large image size, which triggers a buffer overflow or out-of-bounds read. ",buffer overflow ,local users ,hasAttacker,0.9991917623088167
"CVE-2014-0231 The mod cgid module in the Apache HTTP Server before 2.4.10 does not have a timeout mechanism, which allows remote attackers to cause a denial of service (process hang) via a request to a CGI script that does not read from its stdin file descriptor ",denial of service ,remote attackers ,hasAttacker,0.9982832170620413
CVE-2014-0233 Red Hat OpenShift Enterprise 2.0 and 2.1 and OpenShift Origin allow remote authenticated users to execute arbitrary commands via shell metacharacters in a directory name that is referenced by a cartridge using the file : URI scheme ,execute arbitrary commands ,remote authenticated users ,hasAttacker,0.9996712865621037
"CVE-2014-0239 The internal DNS server in Samba 4.x before 4.0.18 does not check the QR field in the header section of an incoming DNS message before sending a response, which allows remote attackers to cause a denial of service (CPU and bandwidth consumption) via a forged response packet that triggers a communication loop a related issue to CVE-1999-0103. ",denial of service ,remote attackers ,hasAttacker,0.9982832170620413
"CVE-2014-0249 The System Security Services Daemon ( SSSD ) Product1.11.6 does not properly identify group membership when a non-POSIX group is in a group membership chain, which allows local users to bypass access restrictions via unspecified vectors ",bypass access restrictions ,local users ,hasAttacker,0.9989191835462706
"CVE-2014-0251 Microsoft Windows SharePoint Services 3.0 SP3 ; SharePoint Server 2007 SP3 Product,2010 SP1 and SP2 and 2013 Gold and SP1; SharePoint Foundation2010 SP1 and SP2 and 2013 Gold and SP1; Project Server2010 SP1 and SP2 and 2013 Gold and SP1; Web Applications2010 SP1 and SP2 Office Web Apps Server 2013 Gold and SP1; SharePoint Server 2013 Client Components SDK; and SharePoint Designer 2007 SP3,2010 SP1 and SP2 and 2013 Gold and SP1 allow remote authenticated users to execute arbitrary code via crafted page content aka ""SharePoint Page Content Vulnerability."" ",execute arbitrary code ,remote authenticated users ,hasAttacker,0.9979533379797749
"CVE-2014-0253 Microsoft .NET Framework 1.1 SP1 Versionnumber,2.0 SP2 Versionnumber,3.5 Versionnumber,3.5 Versionnumber.1,4 Versionnumber,4 and4 does not properly determine TCP connection states, which allows remote attackers to cause a denial of service (ASP.NET daemon hang) via crafted HTTP requests that trigger persistent resource consumption for a (1) stale or (2) closed connection, as exploited in the wild in February 2014, aka ""POST Request DoS Vulnerability."" ",denial of service ,remote attackers ,hasAttacker,0.9982832170620413
