Text,Subject,Object,Relation,Confidence Score
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service ( crash ) and possibly execute arbitrary code via a long server version string ,Buffer overflow ,to cause a denial of service ( crash ) and possibly execute arbitrary code ,hasConsequences,1.0000000000000002
CVE-2014-0019 Stack-based buffer overflow in socat 1.3.0.0 through 1.7.2.2 and 2.0.0-b1 through 2.0.0-b6 allows local users to cause a denial of service (segmentation fault) via a long server name in the PROXY-CONNECT address in the command line. ,Stack-based buffer overflow ,to cause a denial of service ,hasConsequences,0.9992880229473218
"CVE-2014-0039 Untrusted search path vulnerability in fwsnort before 1.6.4 when not running as root, allows local users to execute arbitrary code via a Trojan horse fwsnort Product.conf in the current working directory. ",Untrusted search path vulnerability ,to execute arbitrary code ,hasConsequences,0.9980557535663015
CVE-2014-0049 Buffer overflow in the complete emulated mmio function in arch/x86/kvm/x86.c in the Linux kernel Productbefore 3.13.6 allows guest OS users to execute arbitrary code on the host OS by leveraging a loop that triggers an invalid memory copy affecting certain cancel work item data ,Buffer overflow ,to execute arbitrary code ,hasConsequences,0.996527944625036
"CVE-2014-0075 Integer overflow in the parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat before 6.0.40 Versionnumber,7.x before 7.0.53 Versionnumber,and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data ",Integer overflow ,to cause a denial of service ,hasConsequences,0.9989018684364371
"CVE-2014-0081 Multiple cross-site scripting ( XSS ) vulnerabilities in actionview/lib/action view/helpers/number helper.rb in Ruby on Rails before 3.2.17 Versionnumber,4.0.x before 4.0.3 Versionnumber,and 4.1.x before 4.1.0.beta2 allow remote attackers to inject arbitrary web script or HTML via the (1) format, (2) negative or (3) units parameter to the (a) number to (b) number to or (c) number to helper. ",Multiple cross-site scripting ( XSS ) vulnerabilities ,to inject arbitrary web script or HTML ,hasConsequences,0.9978226972631418
CVE-2014-0089 Cross-site scripting ( XSS ) vulnerability in app/views/common/500.html.erb in Foreman 1.4.x before 1.4.2 allows remote authenticated users to inject arbitrary web script or HTML via the bookmark name when adding a bookmark. ,Cross-site scripting ( XSS ) vulnerability ,to inject arbitrary web script or HTML ,hasConsequences,0.9974301022377228
"CVE-2014-0099 Integer overflow in java/org/apache/tomcat/util/buf/Ascii.java in Apache Tomcat before 6.0.40 Versionnumber,7.x before 7.0.53 Versionnumber,and 8.x before 8.0.4 when operated behind a reverse proxy, allows remote attackers to conduct HTTP request smuggling attacks via a crafted Content-Length HTTP header ",Integer overflow ,to conduct HTTP request smuggling attacks ,hasConsequences,0.9976368342543178
CVE-2014-0131 Use-after-free vulnerability in the skb segment function in net/core/skbuff.c in the Linux kernel through 3.13.6 allows attackers to obtain sensitive information from kernel memory by leveraging the absence of a certain orphaning operation ,Use-after-free vulnerability ,to obtain sensitive information from kernel memory ,hasConsequences,0.9920779170397283
CVE-2014-0133 Heap-based buffer overflow in the SPDY implementation in nginx 1.3.15 before 1.4.7 and 1.5.x before 1.5.12 allows remote attackers to execute arbitrary code via a crafted request ,Heap-based buffer overflow ,to execute arbitrary code ,hasConsequences,0.9989643035758206
CVE-2014-0137 SQL injection vulnerability in the saved report delete action in the ReportController in Red Hat CloudForms Management Engine ( CFME ) before 5.2.3.2 remote authenticated users to execute arbitrary SQL commands via unspecified vectors related to MiqReportResult.exists. ,SQL injection vulnerability ,to execute arbitrary SQL commands ,hasConsequences,0.9980711012692061
CVE-2014-0149 Multiple cross-site scripting ( XSS ) vulnerabilities in Red Hat JBoss Web Framework Kit 2.5.0 allow remote attackers to inject arbitrary web script or HTML via a (1) parameter or (2) id name. ,Multiple cross-site scripting ( XSS ) vulnerabilities ,to inject arbitrary web script or HTML ,hasConsequences,0.9961655926654644
CVE-2014-0151 Cross-site request forgery ( CSRF ) vulnerability in oVirt Engine before 3.5.0 beta2 allows remote attackers to hijack the authentication of users for requests that perform unspecified actions via a REST API request ,Cross-site request forgery ( CSRF ) vulnerability ,to hijack the authentication of users for requests that perform unspecified actions ,hasConsequences,0.9972956379570203
CVE-2014-0157 Cross-site scripting ( XSS ) vulnerability in the Horizon Orchestration dashboard in OpenStack Dashboard (aka Horizon) 2013.2 before 2013.2.4 and icehouse before icehouse-rc2 allows remote attackers to inject arbitrary web script or HTML via the description field of a Heat template ,Cross-site scripting ( XSS ) vulnerability ,to inject arbitrary web script or HTML ,hasConsequences,0.9971940902641144
CVE-2014-0159 Buffer overflow in the GetStatistics64 remote procedure call ( RPC ) in OpenAFS 1.4.8 before 1.6.7 allows remote attackers to cause a denial of service (crash) via a crafted statsVersion argument ,Buffer overflow ,to cause a denial of service ,hasConsequences,0.9982774536923346
"CVE-2014-0171 XML external entity ( XXE ) vulnerability in StaxXMLFactoryProvider2 in Odata4j as used in Red Hat JBoss Data Virtualization before 6.0.0 patch 4, allows remote attackers to read arbitrary files via a crafted request to a REST endpoint ",XML external entity ( XXE ) vulnerability ,to read arbitrary files ,hasConsequences,0.9988163477779157
"CVE-2014-0207 The cdf read short sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14, allows remote attackers to cause adenial of service (assertion failure and application exit) via a crafted CDF file ",adenial of service ,cdf.c ,hasConsequences,0.9940842202583253
"CVE-2014-0301 Double free vulnerability in qedit.dll in DirectShow in Microsoft Windows XP SP2 and SP3, Windows Server 2003 SP2, Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, and Windows Server 2012 Gold and R2 allows remote attackers to execute arbitrary code via a crafted JPEG image aka ""DirectShow Memory Corruption Vulnerability."" ",Double free vulnerability ,to execute arbitrary code ,hasConsequences,0.9536086129000843
"CVE-2014-0307 Use-after-free vulnerability inMicrosoft Internet Explore 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a certain sequence of manipulations of a TextRange element aka ""Internet Explorer Memory Corruption Vulnerability."" ",Use-after-free vulnerability ,execute arbitrary code or cause a denial of service ,hasConsequences,0.9899570071015412
"CVE-2014-0315 Untrusted search path vulnerability in Microsoft Windows XP SP2 and SP3 Product,Windows Server 2003 SP2 Product,Windows Vista SP2 Product,Windows Server 2008 SP2 and R2 SP1 Product,Windows 7 SP1 Product,Windows 8 Product,Windows 8 Product.1,Windows Server 2012 Gold and R2 Product,and Windows RT Gold and 8.1 allows local users to gain privileges via a Trojan horse cmd.exe file in the current working directory as demonstrated by a directory that contains a .bat or .cmd file, aka ""Windows File Handling Vulnerability."" ",Untrusted search path vulnerability ,gain privileges ,hasConsequences,0.9503714743446364
"CVE-2014-0325 Use-after-free vulnerability in Microsoft Internet Explorer 9 remote attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via a crafted web site that triggers improper processing of CElement objects, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-1751 and CVE-2014-1755. NOTE: MS14-018 originally had a typo of CVE-2014-0235 for this. ",Use-after-free vulnerability ,execute arbitrary code or cause a denial of service ( memory corruption ) ,hasConsequences,0.9904797458804112
CVE-2014-0331 Cross-site scripting ( XSS ) vulnerability in the web administration interface in FortiADC with firmware before 3.2.1 allows remote attackers to inject arbitrary web script or HTML via the locale parameter to gui partA/ ,Cross-site scripting ( XSS ) vulnerability ,inject arbitrary web script or HTML ,hasConsequences,0.9979212175314875
"CVE-2014-0335 Multiple cross-site scripting ( XSS ) vulnerabilities in the web client in Serena Dimensions CM 12.2 build 7.199.0 allow remote attackers to inject arbitrary web script or HTML via the (1) DB (2) DB (3) DM (4) MAN DB (5) framecmd, (6) identifier, (7) merant.adm.adapters.AdmDialogPropertyMgr, (8) nav (9) nav (10) target (11) id, or (12) type parameter to the dimensions/ URI. ",Multiple cross-site scripting ( XSS ) vulnerabilities ,inject arbitrary web script or HTML ,hasConsequences,0.9959069037135407
CVE-2014-0337 Cross-site scripting ( XSS ) vulnerability in the web interface on Huawei Echo Life HG8247 routers with software before V100R006C00SPC127 allows remote attackers to inject arbitrary web script or HTML via an invalid TELNET connection attempt with a crafted username that is not properly handled during construction of the `` failed log-in attempts over telnet '' log view ,Cross-site scripting ( XSS ) vulnerability ,inject arbitrary web script or HTML ,hasConsequences,0.9972384602697367
CVE-2014-0339 Cross-site scripting ( XSS ) vulnerability in view.cgi in Webmin before 1.680 allows remote attackers to inject arbitrary web script or HTML via the search parameter ,Cross-site scripting ( XSS ) vulnerability ,inject arbitrary web script or HTML ,hasConsequences,0.9983132210820926
"CVE-2014-0341 Multiple cross-site scripting ( XSS ) vulnerabilities in PivotX before 2.3.9 allow remote authenticated users to inject arbitrary web script or HTML via the title field to (1) templates (2) templates or (3) templates (4) an event field to objects.php; or the (5) email or (6) nickname field to pages.php, related to templates ",Multiple cross-site scripting ( XSS ) vulnerabilities ,inject arbitrary web script or HTML ,hasConsequences,0.994860411286634
CVE-2014-0349 Multiple unspecified vulnerabilities in J2k-Codec allow remote attackers to execute arbitrary code via a crafted JPEG 2000 file ,Multiple unspecified vulnerabilities ,execute arbitrary code ,hasConsequences,0.9872349899284443
"CVE-2014-0355 Multiple stack-based buffer overflows on the ZyXEL Wireless N300 NetUSB NBG-419N router with firmware 1.00 ( BFQ.6 ) C0 allow man-in-the-middle attackers to execute arbitrary code via (1) a long temp attribute in a yweather:condition element in a forecastrss file that is processed by the checkWeather function; the (2) WeatherCity or (3) WeatherDegree variable to the detectWeather function; unspecified input to the (4) UpnpAddRunRLQoS, (5) UpnpDeleteRunRLQoS, or (6) UpnpDeletePortCheckType function; or (7) the SET COUNTRY udps command. ",Multiple stack-based buffer overflows ,execute arbitrary code ,hasConsequences,0.9958573868850839
"CVE-2014-0367 Unspecified vulnerability in the Hyperion Essbase Administration Services component in Oracle Hyperion 11.1.2.1 Versionnumber,11.1.2.2 Versionnumber,and 11.1.2.3 allows remote authenticated users to affect confidentiality and integrity via unknown vectors related to Admin Console ",Unspecified vulnerability ,affect confidentiality and integrity ,hasConsequences,0.9965239780007222
"CVE-2014-0371 Unspecified vulnerability in the Oracle Demantra Demand Management component in Oracle Supply Chain Products Suite 7.2.0.3 SQL-Server, 7.3.0.x, 7.3.1.x, 12.2.0, 12.2.1, and 12.2.2 allows remote authenticated users affect integrity via unknown vectors related to DM Others ",Unspecified vulnerability ,affect integrity ,hasConsequences,0.9879058023942388
"CVE-2014-0373 Unspecified vulnerability in Oracle Java SE 5.0u55 Product,6u65 Product,and 7u45 Product,and OpenJDK 7 allows remote attackers to affect confidentiality Weakness,integrity Weakness,and availability via unknown vectors related to Serviceability NOTE: the previous information is from the January 2014 CPU. Oracle has not commented on third-party claims that the issue is related to throwing of an incorrect exception when SnmpStatusException should have been used in the SNMP implementation, which allows attackers to escape the sandbox. ",Unspecified vulnerability ,"affect confidentiality Weakness,integrity Weakness,and availability ",hasConsequences,0.9962821239192504
CVE-2014-0375 Unspecified vulnerability in Oracle Java SE 6u65 and 7u45 allows remote attackers to affect confidentiality andintegrity via unknown vectors related to Deployment a different vulnerability than CVE-2013-5898 and CVE-2014-0403. ,Unspecified vulnerability ,affect confidentiality ,hasConsequences,0.9988521561688979
CVE-2014-0375 Unspecified vulnerability in Oracle Java SE 6u65 and 7u45 allows remote attackers to affect confidentiality andintegrity via unknown vectors related to Deployment a different vulnerability than CVE-2013-5898 and CVE-2014-0403. ,Unspecified vulnerability ,andintegrity ,hasConsequences,0.9988227138991627
"CVE-2014-0377 Unspecified vulnerability in the Core RDBMS component in Oracle Database Server 11.1.0.7 Versionnumber,11.2.0.3 Versionnumber,11.2.0.4 Versionnumber,and 12.1.0.1 allows remote authenticated users to affect confidentiality via vectors related to SYS tables ",Unspecified vulnerability ,affect confidentiality ,hasConsequences,0.9929256197743347
CVE-2014-0381 Unspecified vulnerability in the PeopleSoft Enterprise PeopleTools component Oracle PeopleSoft Products 8.52 and 8.53 allows remote attackers to affect integrity via vectors related to PIA Core Technology a different vulnerability than CVE-2014-0445. ,Unspecified vulnerability ,affect integrity ,hasConsequences,0.9952959845249766
