Text,Subject,Object,Relation,Confidence Score
"CVE-2014-0039 Untrusted search path vulnerability in fwsnort before 1.6.4 when not running as root, allows local users to execute arbitrary code via a Trojan horse fwsnort Product.conf in the current working directory. ",Untrusted search path vulnerability ,Trojan horse fwsnort Product.conf ,hasMeans,0.9961535815765603
"CVE-2014-0063 Multiple stack-based buffer overflows in PostgreSQL before 8.4.20 Versionnumber,9.0.x before 9.0.16 Versionnumber,9.1.x before 9.1.12 Versionnumber,9.2.x before 9.2.7 Versionnumber,and 9.3.x before 9.3.3 allow remote authenticated users to cause a denial of service (crash) or possibly execute arbitrary code via vectors related to an incorrect MAXDATELEN constant and datetime values involving (1) intervals, (2) timestamps, or (3) timezones, a different vulnerability than CVE-2014-0065. ",Multiple stack-based buffer overflows ,vectors related to an incorrect MAXDATELEN constant and datetime values ,hasMeans,0.9951496777976442
"CVE-2014-0221 The dtls1 get message fragment function in d1 both.c in OpenSSL before 0.9.8za, 1.0.0 before 1.0.0m, and 1.0.1 before 1.0.1h allows remote attackers to cause a denial of service (recursion and client crash) via a DTLS hello message in an invalid DTLS handshake. ",denial of service ,dtls1 get message fragment ,hasMeans,0.9990539572329927
"CVE-2014-0253 Microsoft .NET Framework 1.1 SP1 Versionnumber,2.0 SP2 Versionnumber,3.5 Versionnumber,3.5 Versionnumber.1,4 Versionnumber,4 and4 does not properly determine TCP connection states, which allows remote attackers to cause a denial of service (ASP.NET daemon hang) via crafted HTTP requests that trigger persistent resource consumption for a (1) stale or (2) closed connection, as exploited in the wild in February 2014, aka ""POST Request DoS Vulnerability."" ",denial of service ,crafted HTTP requests ,hasMeans,1.0000000000000002
"CVE-2014-0257 Microsoft .NET Framework 1.0 SP3 Versionnumber,1.1 SP1 Versionnumber,2.0 SP2 Versionnumber,3.5 Versionnumber,3.5 Versionnumber.1,4 Versionnumber,4 and4 does not properly determine whether it is safe to execute a method, which allows remote attackers to execute arbitrary code via (1) a crafted web site or (2) a crafted .NET Framework application that exposes a COM server endpoint, aka ""Type Traversal Vulnerability."" ",execute arbitrary code ,crafted web site ,hasMeans,1.0000000000000002
"CVE-2014-0325 Use-after-free vulnerability in Microsoft Internet Explorer 9 remote attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via a crafted web site that triggers improper processing of CElement objects, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-1751 and CVE-2014-1755. NOTE: MS14-018 originally had a typo of CVE-2014-0235 for this. ",Use-after-free vulnerability ,crafted web site ,hasMeans,0.9971323263964265
"CVE-2014-0471 Directory traversal vulnerability in the unpacking functionality in dpkg Productbefore 1.15.9 Versionnumber,1.16.x before 1.16.13 Versionnumber,and 1.17.x before 1.17.8 allows remote attackers to write arbitrary files via a crafted source package Means,related to `` C-style filename quoting . '' ",Directory traversal vulnerability ,"crafted source package Means,related to `` C-style filename quoting . '' ",hasMeans,0.9977438680741463
CVE-2014-0619 Untrusted search path vulnerability in Hamster Free ZIP Archiver 2.0.1.7 allows local users to execute arbitrary code and conduct DLL hijacking attacks via a Trojan horse dwmapi.dll that is located in the current working directory . ,Untrusted search path vulnerability ,Trojan horse dwmapi.dll that is located in the current working directory . ,hasMeans,0.9970098125490893
CVE-2014-0753 Stack-based buffer overflow in the SCADA server in Ecava IntegraXor before 4.1.4390 allows remote attackers to cause a denial of service ( system crash ) by triggering access to DLL code located in the IntegraXor directory. ,Stack-based buffer overflow ,triggering access to DLL code ,hasMeans,0.998337716571181
CVE-2014-0793 Multiple cross-site scripting ( XSS ) vulnerabilities in the StackIdeas Komento ( com komento ) component before 1.7.3 for Joomla allow remote attackers to inject arbitrary web script or HTML via the ( 1 ) website or ( 2 ) latitude parameter in a comment to the default URI . ,Multiple cross-site scripting ( XSS ) vulnerabilities ,the ( 1 ) website or ( 2 ) latitude parameter in a comment to the default URI . ,hasMeans,0.9802893084194743
