Text,Subject,Object,Relation,Confidence Score
CVE-2014-0001 Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service ( crash ) and possibly execute arbitrary code via a long server version string ,Buffer overflow ,Oracle MySQL ,hasProduct,1.0
CVE-2014-0019 Stack-based buffer overflow in socat 1.3.0.0 through 1.7.2.2 and 2.0.0-b1 through 2.0.0-b6 allows local users to cause a denial of service (segmentation fault) via a long server name in the PROXY-CONNECT address in the command line. ,Stack-based buffer overflow ,socat ,hasProduct,0.9974460281588892
"CVE-2014-0039 Untrusted search path vulnerability in fwsnort before 1.6.4 when not running as root, allows local users to execute arbitrary code via a Trojan horse fwsnort Product.conf in the current working directory. ",Untrusted search path vulnerability ,fwsnort ,hasProduct,0.9865499048909906
"CVE-2014-0063 Multiple stack-based buffer overflows in PostgreSQL before 8.4.20 Versionnumber,9.0.x before 9.0.16 Versionnumber,9.1.x before 9.1.12 Versionnumber,9.2.x before 9.2.7 Versionnumber,and 9.3.x before 9.3.3 allow remote authenticated users to cause a denial of service (crash) or possibly execute arbitrary code via vectors related to an incorrect MAXDATELEN constant and datetime values involving (1) intervals, (2) timestamps, or (3) timezones, a different vulnerability than CVE-2014-0065. ",Multiple stack-based buffer overflows ,PostgreSQL ,hasProduct,0.9915813011087843
"CVE-2014-0065 Multiple buffer overflows in PostgreSQL before 8.4.20 Versionnumber,9.0.x before 9.0.16 Versionnumber,9.1.x before 9.1.12 Versionnumber,9.2.x before 9.2.7 Versionnumber,and 9.3.x before 9.3.3 allow remote authenticated users to have unspecified impact and attack vectors a different vulnerability than CVE-2014-0063. ",Multiple buffer overflows ,PostgreSQL ,hasProduct,0.9917249561518868
"CVE-2014-0075 Integer overflow in the parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat before 6.0.40 Versionnumber,7.x before 7.0.53 Versionnumber,and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data ",Integer overflow ,Apache Tomcat ,hasProduct,0.9914688818596584
"CVE-2014-0081 Multiple cross-site scripting ( XSS ) vulnerabilities in actionview/lib/action view/helpers/number helper.rb in Ruby on Rails before 3.2.17 Versionnumber,4.0.x before 4.0.3 Versionnumber,and 4.1.x before 4.1.0.beta2 allow remote attackers to inject arbitrary web script or HTML via the (1) format, (2) negative or (3) units parameter to the (a) number to (b) number to or (c) number to helper. ",Multiple cross-site scripting ( XSS ) vulnerabilities ,Rails ,hasProduct,0.9944572711825471
CVE-2014-0089 Cross-site scripting ( XSS ) vulnerability in app/views/common/500.html.erb in Foreman 1.4.x before 1.4.2 allows remote authenticated users to inject arbitrary web script or HTML via the bookmark name when adding a bookmark. ,Cross-site scripting ( XSS ) vulnerability ,Foreman ,hasProduct,0.9874366789708002
"CVE-2014-0099 Integer overflow in java/org/apache/tomcat/util/buf/Ascii.java in Apache Tomcat before 6.0.40 Versionnumber,7.x before 7.0.53 Versionnumber,and 8.x before 8.0.4 when operated behind a reverse proxy, allows remote attackers to conduct HTTP request smuggling attacks via a crafted Content-Length HTTP header ",Integer overflow ,Apache Tomcat ,hasProduct,0.9983837701735522
CVE-2014-0131 Use-after-free vulnerability in the skb segment function in net/core/skbuff.c in the Linux kernel through 3.13.6 allows attackers to obtain sensitive information from kernel memory by leveraging the absence of a certain orphaning operation ,Use-after-free vulnerability ,Linux kernel ,hasProduct,0.9890185609451346
CVE-2014-0133 Heap-based buffer overflow in the SPDY implementation in nginx 1.3.15 before 1.4.7 and 1.5.x before 1.5.12 allows remote attackers to execute arbitrary code via a crafted request ,Heap-based buffer overflow ,nginx ,hasProduct,0.9916997099811476
CVE-2014-0137 SQL injection vulnerability in the saved report delete action in the ReportController in Red Hat CloudForms Management Engine ( CFME ) before 5.2.3.2 remote authenticated users to execute arbitrary SQL commands via unspecified vectors related to MiqReportResult.exists. ,SQL injection vulnerability ,Red Hat CloudForms Management Engine ( CFME ) ,hasProduct,0.995885018688973
CVE-2014-0149 Multiple cross-site scripting ( XSS ) vulnerabilities in Red Hat JBoss Web Framework Kit 2.5.0 allow remote attackers to inject arbitrary web script or HTML via a (1) parameter or (2) id name. ,Multiple cross-site scripting ( XSS ) vulnerabilities ,Red Hat JBoss Web Framework Kit ,hasProduct,0.9951155967195475
CVE-2014-0151 Cross-site request forgery ( CSRF ) vulnerability in oVirt Engine before 3.5.0 beta2 allows remote attackers to hijack the authentication of users for requests that perform unspecified actions via a REST API request ,Cross-site request forgery ( CSRF ) vulnerability ,oVirt Engine ,hasProduct,0.9924972002216607
CVE-2014-0157 Cross-site scripting ( XSS ) vulnerability in the Horizon Orchestration dashboard in OpenStack Dashboard (aka Horizon) 2013.2 before 2013.2.4 and icehouse before icehouse-rc2 allows remote attackers to inject arbitrary web script or HTML via the description field of a Heat template ,Cross-site scripting ( XSS ) vulnerability ,OpenStack Dashboard ,hasProduct,0.9933560107661388
CVE-2014-0159 Buffer overflow in the GetStatistics64 remote procedure call ( RPC ) in OpenAFS 1.4.8 before 1.6.7 allows remote attackers to cause a denial of service (crash) via a crafted statsVersion argument ,Buffer overflow ,OpenAFS ,hasProduct,0.9844174828723818
"CVE-2014-0171 XML external entity ( XXE ) vulnerability in StaxXMLFactoryProvider2 in Odata4j as used in Red Hat JBoss Data Virtualization before 6.0.0 patch 4, allows remote attackers to read arbitrary files via a crafted request to a REST endpoint ",XML external entity ( XXE ) vulnerability ,Red Hat JBoss Data Virtualization ,hasProduct,0.9964690606138475
"CVE-2014-0199 The setup script in ovirt-engine-reports, as used in the Red Hat Enterprise Virtualization reports ( rhevm-reports ) package before 3.3.3 stores the reports database password in cleartext which allows local users to obtain sensitive information by reading an unspecified file. ",obtain sensitive information ,Red Hat Enterprise Virtualization reports ( rhevm-reports ) package ,hasProduct,0.9984000680159378
"CVE-2014-0207 The cdf read short sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14, allows remote attackers to cause adenial of service (assertion failure and application exit) via a crafted CDF file ",adenial of service ,Fileinfo component in PHP ,hasProduct,0.996948123795769
